Year,Units,Type of expenditure,Area of spending,Observation status,Unit multiplier,Unit measure,Value
2000,General government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,317.00180518
2001,General government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,287.6017119753692
2002,General government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,314.96301736524623
2003,General government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,346.8166414305285
2004,General government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,348.0210307187275
2005,General government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,525.9603431694677
2006,General government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,423.1337676792088
2007,General government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,454.1651785495873
2008,General government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,461.7962661628693
2009,General government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,491.91702604379986
2010,General government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,493.7579171280843
2011,General government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,469.38378860110834
2012,General government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,455.5215446197316
2013,General government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,421.69417072116835
2014,General government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,436.6779778564882
2015,General government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,429.9339579173706
2016,General government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,414.8025609271251
2017,General government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,427.23977213878817
2018,General government expenditure (GBP (£) per capita),,,Undefined,Units,GBP (£) per capita,410.0963941019574
2000,General government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,110.31465829796845
2001,General government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,119.77060883392824
2002,General government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,134.03362547733792
2003,General government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,148.6333080133542
2004,General government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,152.94309962902665
2005,General government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,314.5333891709276
2006,General government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,206.3389508952424
2007,General government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,229.0477192261465
2008,General government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,219.64033268741164
2009,General government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,243.3324499482015
2010,General government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,245.68392036265428
2011,General government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,230.51239549277793
2012,General government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,221.01875833921983
2013,General government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,215.25386978069034
2014,General government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,231.54397741064574
2015,General government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,228.25986791583475
2016,General government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,221.468709680859
2017,General government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,223.4245202164742
2018,General government expenditure (GBP (£) per capita),Environmental protection,,Undefined,Units,GBP (£) per capita,218.16616392416114
2000,General government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,83.92472926548031
2001,General government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,90.96137905367686
2002,General government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,98.81126643836424
2003,General government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,107.66860003990831
2004,General government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,117.41372868237742
2005,General government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,267.35834658924443
2006,General government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,162.62488265920948
2007,General government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,177.98695675572537
2008,General government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,173.67098107848432
2009,General government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,187.51857116470313
2010,General government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,184.13148606983802
2011,General government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,179.85276155050715
2012,General government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,171.79185307275722
2013,General government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,170.84284236815134
2014,General government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,179.52901691724668
2015,General government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,175.0575948395024
2016,General government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,171.82523180411923
2017,General government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,174.39377833501413
2018,General government expenditure (GBP (£) per capita),Environmental protection,Waste management,Undefined,Units,GBP (£) per capita,176.41144205817363
2000,General government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.0
2001,General government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.10150051596095613
2002,General government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.2358264115474087
2003,General government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.2682911696991953
2004,General government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.4503723077744268
2005,General government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.9435008516336634
2006,General government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.772681913160417
2007,General government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.1956975885164655
2008,General government expenditure (GBP (£) per capita),Environmental protection,Waste water management,Undefined,Units,GBP (£) per capita,0.2588000090580003
