Year,Units,Series,Waste type,Sector,Household Waste disposal routes,Observation status,Unit measure,Unit multiplier,Value
2007,Kilotonnes,Food and inedible waste,Household,,,estimate,Kilotonnes,Thousands,8085.0
2008,Kilotonnes,Food and inedible waste,Household,,,estimate,Kilotonnes,Thousands,
2010,Kilotonnes,Food and inedible waste,Household,,,estimate,Kilotonnes,Thousands,
2013,Kilotonnes,Food and inedible waste,Household,,,estimate,Kilotonnes,Thousands,
2014,Kilotonnes,Food and inedible waste,Household,,,estimate,Kilotonnes,Thousands,
2016,Kilotonnes,Food and inedible waste,Household,,,estimate,Kilotonnes,Thousands,
2009,Kilotonnes,Food and inedible waste,Household,,,estimate,Kilotonnes,Thousands,
2011,Kilotonnes,Food and inedible waste,Household,,,estimate,Kilotonnes,Thousands,
2012,Kilotonnes,Food and inedible waste,Household,,,estimate,Kilotonnes,Thousands,
2015,Kilotonnes,Food and inedible waste,Household,,,estimate,Kilotonnes,Thousands,7050.0
2017,Kilotonnes,Food and inedible waste,Household,,,estimate,Kilotonnes,Thousands,
2018,Kilotonnes,Food and inedible waste,Household,,,estimate,Kilotonnes,Thousands,6646.0
2007,Kilotonnes,Food and inedible waste,Household,,LA collected residual waste,estimate,Kilotonnes,Thousands,5488.0
2009,Kilotonnes,Food and inedible waste,Household,,LA collected residual waste,estimate,Kilotonnes,Thousands,
2011,Kilotonnes,Food and inedible waste,Household,,LA collected residual waste,estimate,Kilotonnes,Thousands,
2012,Kilotonnes,Food and inedible waste,Household,,LA collected residual waste,estimate,Kilotonnes,Thousands,
2015,Kilotonnes,Food and inedible waste,Household,,LA collected residual waste,estimate,Kilotonnes,Thousands,4117.0
2017,Kilotonnes,Food and inedible waste,Household,,LA collected residual waste,estimate,Kilotonnes,Thousands,
2018,Kilotonnes,Food and inedible waste,Household,,LA collected residual waste,estimate,Kilotonnes,Thousands,3642.0
2007,Kilotonnes,Food and inedible waste,Household,,LA collected organics,estimate,Kilotonnes,Thousands,65.0
2009,Kilotonnes,Food and inedible waste,Household,,LA collected organics,estimate,Kilotonnes,Thousands,
2011,Kilotonnes,Food and inedible waste,Household,,LA collected organics,estimate,Kilotonnes,Thousands,
2012,Kilotonnes,Food and inedible waste,Household,,LA collected organics,estimate,Kilotonnes,Thousands,
2015,Kilotonnes,Food and inedible waste,Household,,LA collected organics,estimate,Kilotonnes,Thousands,639.0
