Year,Gas,Sector (end-user),Sector detail (end-user),Sector (source),Sector detail (source),Observation status,Unit multiplier,Unit measure,Value
1990,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),595.713001121
1991,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),603.243520702377
1992,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),586.936349062981
1993,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),572.217430078382
1994,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),568.18549463514
1995,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),559.755830748312
1996,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),580.508714542657
1997,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),553.954758146138
1998,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),558.377085343405
1999,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),552.111780723401
2000,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),558.465668853542
2001,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),566.751147358853
2002,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),549.946226674561
2003,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),561.209446404176
2004,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),561.883351530649
2005,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),558.058553328409
2006,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),555.066956321185
2007,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),546.189335252031
2008,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),531.383572681726
2009,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),481.005505647037
2010,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),498.480382230054
2011,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),455.717254201469
2012,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),473.850757364232
2013,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),463.78217824211
2014,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),425.016359807722
2015,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),408.262553748451
2016,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),385.098993314268
2017,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),373.801848991011
2018,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),365.657978676755
1990,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),132.533761520579
1991,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),133.28406005669
1992,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),132.959136978886
1993,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),131.385872748757
1994,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),124.489842034982
1995,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),126.022442386198
1996,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),125.153254561936
1997,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),122.847685951737
1998,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),119.311950420559
1999,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),113.752079751806
2000,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),108.558515095695
2001,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),103.669159543651
2002,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),101.231851387755
2003,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),96.1092488857751
2004,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),91.7253841236297
2005,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),86.9568079673302
2006,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),82.4796905963452
2007,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),78.587398640591
2008,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),72.9864062232487
2009,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),68.4650130442686
2010,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),63.806314475963
2011,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),61.1309294614657
2012,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),59.6625349473824
2013,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),55.6327559819908
2014,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),53.5345917606325
2015,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),52.7162405306813
2016,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),51.1524169082367
2017,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),51.5683131994603
2018,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),51.5471547612227
1990,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),48.2433537807977
1991,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),48.444268967742
1992,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),43.5126173814778
1993,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),39.2637785102894
1994,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),39.8806923413971
1995,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),38.6179014825162
1996,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),38.6007207647968
1997,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),38.8469425795097
1998,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),38.7953660242404
1999,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),29.262098368296
2000,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),28.5612480613015
2001,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),26.9818352974326
2002,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),25.3012743096263
2003,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),24.8622200076891
2004,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),25.3233098706253
2005,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),24.3710582490144
2006,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),23.1783149673226
2007,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),23.1868135235434
2008,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),22.4910771781738
2009,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),20.9981504120898
