Year,Units,Series,Country,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2005,Growth rate (%),Woodland area net change,England,Percentage (%),Units,Undefined,E92000001,0.389209374
2006,Growth rate (%),Woodland area net change,England,Percentage (%),Units,Undefined,E92000001,0.26521798
2007,Growth rate (%),Woodland area net change,England,Percentage (%),Units,Undefined,E92000001,0.229596214
2008,Growth rate (%),Woodland area net change,England,Percentage (%),Units,Undefined,E92000001,0.186594452
2009,Growth rate (%),Woodland area net change,England,Percentage (%),Units,Undefined,E92000001,0.180765749
2010,Growth rate (%),Woodland area net change,England,Percentage (%),Units,Undefined,E92000001,0.164243121
2011,Growth rate (%),Woodland area net change,England,Percentage (%),Units,Undefined,E92000001,0.196301439
2012,Growth rate (%),Woodland area net change,England,Percentage (%),Units,Undefined,E92000001,0.410041899
2013,Growth rate (%),Woodland area net change,England,Percentage (%),Units,Undefined,E92000001,0.041602583
2014,Growth rate (%),Woodland area net change,England,Percentage (%),Units,Undefined,E92000001,0.284153295
2015,Growth rate (%),Woodland area net change,England,Percentage (%),Units,Undefined,E92000001,0.240039288
2016,Growth rate (%),Woodland area net change,England,Percentage (%),Units,Undefined,E92000001,0.018587318
2017,Growth rate (%),Woodland area net change,England,Percentage (%),Units,Undefined,E92000001,0.068447867
2018,Growth rate (%),Woodland area net change,England,Percentage (%),Units,Undefined,E92000001,0.100231731
2019,Growth rate (%),Woodland area net change,England,Percentage (%),Units,Undefined,E92000001,0.11492657
2020,Growth rate (%),Woodland area net change,England,Percentage (%),Units,Undefined,E92000001,0.178708046
2005,Growth rate (%),Woodland area net change,Wales,Percentage (%),Units,Undefined,W92000004,0.171352622
2006,Growth rate (%),Woodland area net change,Wales,Percentage (%),Units,Undefined,W92000004,0.156448561
2007,Growth rate (%),Woodland area net change,Wales,Percentage (%),Units,Undefined,W92000004,0.16356385
2008,Growth rate (%),Woodland area net change,Wales,Percentage (%),Units,Undefined,W92000004,0.052994665
2009,Growth rate (%),Woodland area net change,Wales,Percentage (%),Units,Undefined,W92000004,0.051753304
2010,Growth rate (%),Woodland area net change,Wales,Percentage (%),Units,Undefined,W92000004,0.059825499
2011,Growth rate (%),Woodland area net change,Wales,Percentage (%),Units,Undefined,W92000004,0.097840441
2012,Growth rate (%),Woodland area net change,Wales,Percentage (%),Units,Undefined,W92000004,0.328739055
2013,Growth rate (%),Woodland area net change,Wales,Percentage (%),Units,Undefined,W92000004,0.604948038
2014,Growth rate (%),Woodland area net change,Wales,Percentage (%),Units,Undefined,W92000004,-0.18746975
2015,Growth rate (%),Woodland area net change,Wales,Percentage (%),Units,Undefined,W92000004,0.053093115
2016,Growth rate (%),Woodland area net change,Wales,Percentage (%),Units,Undefined,W92000004,0.196300328
2017,Growth rate (%),Woodland area net change,Wales,Percentage (%),Units,Undefined,W92000004,0.349801416
2018,Growth rate (%),Woodland area net change,Wales,Percentage (%),Units,Undefined,W92000004,0.283790187
2019,Growth rate (%),Woodland area net change,Wales,Percentage (%),Units,Undefined,W92000004,0.209756399
2020,Growth rate (%),Woodland area net change,Wales,Percentage (%),Units,Undefined,W92000004,0.02458053
2005,Growth rate (%),Woodland area net change,Scotland,Percentage (%),Units,Undefined,S92000003,0.412504547
2006,Growth rate (%),Woodland area net change,Scotland,Percentage (%),Units,Undefined,S92000003,0.288460709
2007,Growth rate (%),Woodland area net change,Scotland,Percentage (%),Units,Undefined,S92000003,0.474947783
2008,Growth rate (%),Woodland area net change,Scotland,Percentage (%),Units,Undefined,S92000003,0.299911106
2009,Growth rate (%),Woodland area net change,Scotland,Percentage (%),Units,Undefined,S92000003,0.245632543
2010,Growth rate (%),Woodland area net change,Scotland,Percentage (%),Units,Undefined,S92000003,0.193483481
2011,Growth rate (%),Woodland area net change,Scotland,Percentage (%),Units,Undefined,S92000003,0.370165072
2012,Growth rate (%),Woodland area net change,Scotland,Percentage (%),Units,Undefined,S92000003,1.418269113
2013,Growth rate (%),Woodland area net change,Scotland,Percentage (%),Units,Undefined,S92000003,0.544319329
2014,Growth rate (%),Woodland area net change,Scotland,Percentage (%),Units,Undefined,S92000003,0.963460258
