Year,Series,DAC classification,Unit measure,Observation status,Value
2009,(a) ODA for biodiversity,Undefined,Millions (£),Undefined,173.76328
2010,(a) ODA for biodiversity,Undefined,Millions (£),Undefined,284.02923
2011,(a) ODA for biodiversity,Undefined,Millions (£),Undefined,54.80227
2012,(a) ODA for biodiversity,Undefined,Millions (£),Undefined,1.7808599999999999
2013,(a) ODA for biodiversity,Undefined,Millions (£),Undefined,1.16523
2014,(a) ODA for biodiversity,Undefined,Millions (£),Undefined,1.02324
2015,(a) ODA for biodiversity,Undefined,Millions (£),Undefined,1.3798
2016,(a) ODA for biodiversity,Undefined,Millions (£),Undefined,4.9025
2009,(a) ODA for biodiversity,LDCs,Millions (£),Undefined,6.314310000000001
2010,(a) ODA for biodiversity,LDCs,Millions (£),Undefined,8.91476
2011,(a) ODA for biodiversity,LDCs,Millions (£),Undefined,30.127650000000003
2012,(a) ODA for biodiversity,LDCs,Millions (£),Undefined,0.70987
2013,(a) ODA for biodiversity,LDCs,Millions (£),Undefined,1.2781300000000002
2014,(a) ODA for biodiversity,LDCs,Millions (£),Undefined,2.3919699999999997
2015,(a) ODA for biodiversity,LDCs,Millions (£),Undefined,2.16983
2016,(a) ODA for biodiversity,LDCs,Millions (£),Undefined,3.3
2009,(a) ODA for biodiversity,LMICs,Millions (£),Undefined,0.43006
2010,(a) ODA for biodiversity,LMICs,Millions (£),Undefined,9.07159
2011,(a) ODA for biodiversity,LMICs,Millions (£),Undefined,10.69257
2012,(a) ODA for biodiversity,LMICs,Millions (£),Undefined,0.60038
2013,(a) ODA for biodiversity,LMICs,Millions (£),Undefined,0.8306699999999999
2014,(a) ODA for biodiversity,LMICs,Millions (£),Undefined,1.81758
2015,(a) ODA for biodiversity,LMICs,Millions (£),Undefined,20.64233
2016,(a) ODA for biodiversity,LMICs,Millions (£),Undefined,1.66073
2009,(a) ODA for biodiversity,Other LICs,Millions (£),Undefined,0.32621
2010,(a) ODA for biodiversity,Other LICs,Millions (£),Undefined,1.86463
2011,(a) ODA for biodiversity,Other LICs,Millions (£),Undefined,1.5334400000000001
2012,(a) ODA for biodiversity,Other LICs,Millions (£),Undefined,0.07720999999999999
2013,(a) ODA for biodiversity,Other LICs,Millions (£),Undefined,0.20181
2014,(a) ODA for biodiversity,Other LICs,Millions (£),Undefined,0.34167000000000003
2015,(a) ODA for biodiversity,Other LICs,Millions (£),Undefined,0.45686
2016,(a) ODA for biodiversity,Other LICs,Millions (£),Undefined,0.26123
2009,(a) ODA for biodiversity,UMICs,Millions (£),Undefined,0.31394
2010,(a) ODA for biodiversity,UMICs,Millions (£),Undefined,2.32783
2011,(a) ODA for biodiversity,UMICs,Millions (£),Undefined,7.24507
2012,(a) ODA for biodiversity,UMICs,Millions (£),Undefined,1.1705699999999999
2013,(a) ODA for biodiversity,UMICs,Millions (£),Undefined,0.5597000000000001
2014,(a) ODA for biodiversity,UMICs,Millions (£),Undefined,1.19227
2015,(a) ODA for biodiversity,UMICs,Millions (£),Undefined,1.07571
2016,(a) ODA for biodiversity,UMICs,Millions (£),Undefined,1.6209200000000001
2017,(a) ODA for biodiversity,LDCs,Millions (£),Undefined,4.521822559
2018,(a) ODA for biodiversity,LDCs,Millions (£),Undefined,4.761394140999999
2019,(a) ODA for biodiversity,LDCs,Millions (£),Undefined,5.827424183
2017,(a) ODA for biodiversity,LMICs,Millions (£),Undefined,2.56995853
2018,(a) ODA for biodiversity,LMICs,Millions (£),Undefined,3.62993496
2019,(a) ODA for biodiversity,LMICs,Millions (£),Undefined,4.1751920405
2017,(a) ODA for biodiversity,Other LICs,Millions (£),Undefined,0.24691193
2018,(a) ODA for biodiversity,Other LICs,Millions (£),Undefined,0.00357423
2019,(a) ODA for biodiversity,Other LICs,Millions (£),Undefined,0.136017125
2017,(a) ODA for biodiversity,Undefined,Millions (£),Undefined,4.948147788
2018,(a) ODA for biodiversity,Undefined,Millions (£),Undefined,4.95152143
2019,(a) ODA for biodiversity,Undefined,Millions (£),Undefined,20.1453403863
2017,(a) ODA for biodiversity,UMICs,Millions (£),Undefined,1.584193726
2018,(a) ODA for biodiversity,UMICs,Millions (£),Undefined,1.966898035
2019,(a) ODA for biodiversity,UMICs,Millions (£),Undefined,2.352035305
2009,(a) ODA for biodiversity,,Millions (£),Undefined,181.1478
2010,(a) ODA for biodiversity,,Millions (£),Undefined,306.20804
2011,(a) ODA for biodiversity,,Millions (£),Undefined,104.401
2012,(a) ODA for biodiversity,,Millions (£),Undefined,4.33889
2013,(a) ODA for biodiversity,,Millions (£),Undefined,4.03554
2014,(a) ODA for biodiversity,,Millions (£),Undefined,6.76673
2015,(a) ODA for biodiversity,,Millions (£),Undefined,25.724529999999998
2016,(a) ODA for biodiversity,,Millions (£),Undefined,11.745379999999999
2017,(a) ODA for biodiversity,,Millions (£),Undefined,13.871034533
2018,(a) ODA for biodiversity,,Millions (£),Undefined,15.313322796
2019,(a) ODA for biodiversity,,Millions (£),Undefined,32.6360090398
