Year,Sex,Age,Ethnicity,Ethnic group,Disability status,Country of birth,Region,Household income,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2001/02,,,,,,,,,Undefined,Units,Percentage (%),,68.08609378
2001/02,Male,,,,,,,,Undefined,Units,Percentage (%),,84.0354988
2001/02,Female,,,,,,,,Undefined,Units,Percentage (%),,53.09661792
2002/03,,,,,,,,,Undefined,Units,Percentage (%),,65.7151308
2002/03,Male,,,,,,,,Undefined,Units,Percentage (%),,81.96650072
2002/03,Female,,,,,,,,Undefined,Units,Percentage (%),,50.44783517
2003/04,,,,,,,,,Undefined,Units,Percentage (%),,67.98317451
2003/04,Male,,,,,,,,Undefined,Units,Percentage (%),,83.6036827
2003/04,Female,,,,,,,,Undefined,Units,Percentage (%),,53.257976
2004/05,,,,,,,,,Undefined,Units,Percentage (%),,70.26242897
2004/05,Male,,,,,,,,Undefined,Units,Percentage (%),,84.80284274
2004/05,Female,,,,,,,,Undefined,Units,Percentage (%),,56.55094238
2005/06,,,,,,,,,Undefined,Units,Percentage (%),,68.27897624
2005/06,Male,,,,,,,,Undefined,Units,Percentage (%),,82.81551117
2005/06,Female,,,,,,,,Undefined,Units,Percentage (%),,54.56886978
2006/07,,,,,,,,,Undefined,Units,Percentage (%),,69.03893533
2006/07,Male,,,,,,,,Undefined,Units,Percentage (%),,82.890458
2006/07,Female,,,,,,,,Undefined,Units,Percentage (%),,55.94851202
2007/08,,,,,,,,,Undefined,Units,Percentage (%),,69.3217703
2007/08,Male,,,,,,,,Undefined,Units,Percentage (%),,83.03751376
2007/08,Female,,,,,,,,Undefined,Units,Percentage (%),,56.33444151
2008/09,,,,,,,,,Undefined,Units,Percentage (%),,70.04666565
2008/09,Male,,,,,,,,Undefined,Units,Percentage (%),,83.39308687
2008/09,Female,,,,,,,,Undefined,Units,Percentage (%),,57.39225211
2009/10,,,,,,,,,Undefined,Units,Percentage (%),,72.53356925
2009/10,Male,,,,,,,,Undefined,Units,Percentage (%),,84.73876559
2009/10,Female,,,,,,,,Undefined,Units,Percentage (%),,60.94367969
2010/11,,,,,,,,,Undefined,Units,Percentage (%),,74.53675391
2010/11,Male,,,,,,,,Undefined,Units,Percentage (%),,86.08563183
2010/11,Female,,,,,,,,Undefined,Units,Percentage (%),,63.54408856
2011/12,,,,,,,,,Undefined,Units,Percentage (%),,75.51578594
2011/12,Male,,,,,,,,Undefined,Units,Percentage (%),,87.082603
2011/12,Female,,,,,,,,Undefined,Units,Percentage (%),,64.48216165
2012/13,,,,,,,,,Undefined,Units,Percentage (%),,70.48161867
2012/13,Male,,,,,,,,Undefined,Units,Percentage (%),,85.08356364
2012/13,Female,,,,,,,,Undefined,Units,Percentage (%),,57.95424583
2013/14,,,,,,,,,Undefined,Units,Percentage (%),,71.24689955
2013/14,Male,,,,,,,,Undefined,Units,Percentage (%),,85.08356364
2013/14,Female,,,,,,,,Undefined,Units,Percentage (%),,57.95424583
2014/15,,,,,,,,,Undefined,Units,Percentage (%),,73.68757036
2014/15,Male,,,,,,,,Undefined,Units,Percentage (%),,85.75433771
2014/15,Female,,,,,,,,Undefined,Units,Percentage (%),,61.81505206
2015/16,,,,,,,,,Undefined,Units,Percentage (%),,74.70836037
2015/16,Male,,,,,,,,Undefined,Units,Percentage (%),,87.87263645
2015/16,Female,,,,,,,,Undefined,Units,Percentage (%),,61.70598041
2016/17,,,,,,,,,Undefined,Units,Percentage (%),,
2017/18,,,,,,,,,Undefined,Units,Percentage (%),,75.22197772
2017/18,Male,,,,,,,,Undefined,Units,Percentage (%),,87.16786062
2017/18,Female,,,,,,,,Undefined,Units,Percentage (%),,63.74953488
2017/18,,16 to 24,,,,,,,Undefined,Units,Percentage (%),,76.97541886
2017/18,,25 to 34,,,,,,,Undefined,Units,Percentage (%),,77.01368031
2017/18,,35 to 44,,,,,,,Undefined,Units,Percentage (%),,77.95679948
2017/18,,45 to 54,,,,,,,Undefined,Units,Percentage (%),,78.12526752
2017/18,,55 to 64,,,,,,,Undefined,Units,Percentage (%),,74.81302419
2017/18,,65 to 74,,,,,,,Undefined,Units,Percentage (%),,70.45375257
2017/18,,75 and over,,,,,,,Undefined,Units,Percentage (%),,66.46329694
2017/18,,,White,,,,,,Undefined,Units,Percentage (%),,76.03719811
2017/18,,,White,English/Welsh/Scottish/Northern Irish/British,,,,,Undefined,Units,Percentage (%),,76.19900083
2017/18,,,White,Irish,,,,,Undefined,Units,Percentage (%),,73.07632794
2017/18,,,White,Any other White background,,,,,Undefined,Units,Percentage (%),,74.64943342
2017/18,,,Mixed/Multiple ethnic background,,,,,,Undefined,Units,Percentage (%),,79.20927779
2017/18,,,Asian/Asian British,,,,,,Undefined,Units,Percentage (%),,65.10010961
