Year,Country,Region,Ethnicity,Sex,Health Board (Wales),Local Authority County/ Unitary Authority,IMD Deciles (England),IMD Quintiles,BMI,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2006/07,England,,,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.87023056613
2006/07,England,,,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.0381921743778
2006/07,England,,,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.27314894466275
2007/08,England,,,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.63462939545946
2007/08,England,,,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,12.9619471916793
2007/08,England,,,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.2521668495055
2008/09,England,,,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.59659718394449
2008/09,England,,,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.1861097775644
2008/09,England,,,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.00855643075732
2009/10,England,,,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.82584962174667
2009/10,England,,,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.2786576992549
2009/10,England,,,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.92782702341315
2010/11,England,,,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.43566341188534
2010/11,England,,,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.1828805276626
2010/11,England,,,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.968120386878643
2011/12,England,,,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.48782134914489
2011/12,England,,,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.0708797833335
2011/12,England,,,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.910791249898349
2012/13,England,,,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.2664690527806
2012/13,England,,,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,12.9647528068092
2012/13,England,,,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.877010880107814
2013/14,England,,,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.47890134437528
2013/14,England,,,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.0620292302873
2013/14,England,,,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.948179576937222
2014/15,England,,,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.0805324284844
2014/15,England,,,,,,,,Overweight,Undefined,Units,Percentage (%),E92000001,12.8051736222561
2014/15,England,,,,,,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.963913034934069
2015/16,England,,,,,,,,Obese,Undefined,Units,Percentage (%),E92000001,9.31354205646335
