Year,Pregnancy Status,Units,Observation status,Unit multiplier,Value
2016,,Percentage,undefined,Units,15.3
2015,,Percentage,undefined,Units,14.0
2014,,Percentage,undefined,Units,13.0
2013,,Percentage,undefined,Units,12.1
2012,,Percentage,undefined,Units,11.5
2011,,Percentage,undefined,Units,11.0
2010,,Percentage,undefined,Units,10.6
2009,,Percentage,undefined,Units,10.3
2008,,Percentage,undefined,Units,10.0
2007,,Percentage,undefined,Units,9.9
2006,,Percentage,undefined,Units,9.7
2005,,Percentage,undefined,Units,9.6
2004,,Percentage,undefined,Units,9.5
2003,,Percentage,undefined,Units,9.4
2002,,Percentage,undefined,Units,9.4
2001,,Percentage,undefined,Units,9.5
2000,,Percentage,undefined,Units,9.7
1999,,Percentage,undefined,Units,10.0
1998,,Percentage,undefined,Units,10.4
1997,,Percentage,undefined,Units,10.9
1996,,Percentage,undefined,Units,11.6
1995,,Percentage,undefined,Units,12.6
1994,,Percentage,undefined,Units,13.9
1993,,Percentage,undefined,Units,15.6
1992,,Percentage,undefined,Units,17.8
1991,,Percentage,undefined,Units,20.3
1990,,Percentage,undefined,Units,23.1
2016,Pregnant,Percentage,undefined,Units,21.9
2015,Pregnant,Percentage,undefined,Units,21.4
2014,Pregnant,Percentage,undefined,Units,21.0
2013,Pregnant,Percentage,undefined,Units,20.7
2012,Pregnant,Percentage,undefined,Units,20.4
2011,Pregnant,Percentage,undefined,Units,20.1
2010,Pregnant,Percentage,undefined,Units,19.8
2009,Pregnant,Percentage,undefined,Units,19.6
2008,Pregnant,Percentage,undefined,Units,19.4
2007,Pregnant,Percentage,undefined,Units,19.2
2006,Pregnant,Percentage,undefined,Units,19.0
2005,Pregnant,Percentage,undefined,Units,18.8
2004,Pregnant,Percentage,undefined,Units,18.7
2003,Pregnant,Percentage,undefined,Units,18.6
2002,Pregnant,Percentage,undefined,Units,18.5
2001,Pregnant,Percentage,undefined,Units,18.6
2000,Pregnant,Percentage,undefined,Units,18.8
1999,Pregnant,Percentage,undefined,Units,19.1
1998,Pregnant,Percentage,undefined,Units,19.5
1997,Pregnant,Percentage,undefined,Units,19.8
1996,Pregnant,Percentage,undefined,Units,20.2
1995,Pregnant,Percentage,undefined,Units,20.6
1994,Pregnant,Percentage,undefined,Units,21.0
1993,Pregnant,Percentage,undefined,Units,21.4
1992,Pregnant,Percentage,undefined,Units,21.7
1991,Pregnant,Percentage,undefined,Units,22.1
1990,Pregnant,Percentage,undefined,Units,22.5
2016,Non- Pregnant,Percentage,undefined,Units,15.1
2015,Non- Pregnant,Percentage,undefined,Units,13.8
2014,Non- Pregnant,Percentage,undefined,Units,12.7
2013,Non- Pregnant,Percentage,undefined,Units,11.9
2012,Non- Pregnant,Percentage,undefined,Units,11.2
2011,Non- Pregnant,Percentage,undefined,Units,10.6
2010,Non- Pregnant,Percentage,undefined,Units,10.3
2009,Non- Pregnant,Percentage,undefined,Units,10.0
2008,Non- Pregnant,Percentage,undefined,Units,9.7
2007,Non- Pregnant,Percentage,undefined,Units,9.6
2006,Non- Pregnant,Percentage,undefined,Units,9.4
2005,Non- Pregnant,Percentage,undefined,Units,9.3
2004,Non- Pregnant,Percentage,undefined,Units,9.2
2003,Non- Pregnant,Percentage,undefined,Units,9.1
2002,Non- Pregnant,Percentage,undefined,Units,9.1
2001,Non- Pregnant,Percentage,undefined,Units,9.2
2000,Non- Pregnant,Percentage,undefined,Units,9.4
1999,Non- Pregnant,Percentage,undefined,Units,9.7
1998,Non- Pregnant,Percentage,undefined,Units,10.1
1997,Non- Pregnant,Percentage,undefined,Units,10.6
1996,Non- Pregnant,Percentage,undefined,Units,11.3
1995,Non- Pregnant,Percentage,undefined,Units,12.3
1994,Non- Pregnant,Percentage,undefined,Units,13.7
1993,Non- Pregnant,Percentage,undefined,Units,15.4
1992,Non- Pregnant,Percentage,undefined,Units,17.6
1991,Non- Pregnant,Percentage,undefined,Units,20.3
1990,Non- Pregnant,Percentage,undefined,Units,23.2
