Year,Food price index,Unit measure,Unit multiplier,Observation status,Value
1988 01,,Index,Units,Undefined,
1988 02,,Index,Units,Undefined,
1988 03,,Index,Units,Undefined,
1988 04,,Index,Units,Undefined,
1988 05,,Index,Units,Undefined,
1988 06,,Index,Units,Undefined,
1988 07,,Index,Units,Undefined,
1988 08,,Index,Units,Undefined,
1988 09,,Index,Units,Undefined,
1988 10,,Index,Units,Undefined,
1988 11,,Index,Units,Undefined,
1988 12,,Index,Units,Undefined,
1989 01,,Index,Units,Undefined,0.976484123
1989 02,,Index,Units,Undefined,0.69517029
1989 03,,Index,Units,Undefined,0.704632007
1989 04,,Index,Units,Undefined,0.938913997
1989 05,,Index,Units,Undefined,1.239897863
1989 06,,Index,Units,Undefined,1.149375634
1989 07,,Index,Units,Undefined,0.672573099
1989 08,,Index,Units,Undefined,0.543469382
1989 09,,Index,Units,Undefined,0.800985393
1989 10,,Index,Units,Undefined,1.585230666
1989 11,,Index,Units,Undefined,1.889821648
1989 12,,Index,Units,Undefined,1.870847274
1990 01,,Index,Units,Undefined,2.114970022
1990 02,,Index,Units,Undefined,2.187314321
1990 03,,Index,Units,Undefined,2.016720911
1990 04,,Index,Units,Undefined,1.775349237
1990 05,,Index,Units,Undefined,1.885338368
1990 06,,Index,Units,Undefined,1.636737756
1990 07,,Index,Units,Undefined,0.810754333
1990 08,,Index,Units,Undefined,0.949691644
1990 09,,Index,Units,Undefined,1.037273727
1990 10,,Index,Units,Undefined,1.210190264
1990 11,,Index,Units,Undefined,1.099101588
1990 12,,Index,Units,Undefined,1.201082564
1991 01,,Index,Units,Undefined,1.359734634
1991 02,,Index,Units,Undefined,1.52200848
1991 03,,Index,Units,Undefined,1.223045478
1991 04,,Index,Units,Undefined,1.295991342
1991 05,,Index,Units,Undefined,0.517171712
1991 06,,Index,Units,Undefined,1.081609917
1991 07,,Index,Units,Undefined,0.210338882
1991 08,,Index,Units,Undefined,0.722198229
1991 09,,Index,Units,Undefined,-0.202354255
1991 10,,Index,Units,Undefined,0.285164566
1991 11,,Index,Units,Undefined,0.257325852
1991 12,,Index,Units,Undefined,0.619382184
1992 01,,Index,Units,Undefined,0.882733024
1992 02,,Index,Units,Undefined,0.574634694
1992 03,,Index,Units,Undefined,0.552637158
1992 04,,Index,Units,Undefined,-0.179483447
1992 05,,Index,Units,Undefined,-0.012694536
1992 06,,Index,Units,Undefined,-0.526863105
1992 07,,Index,Units,Undefined,-0.759187031
1992 08,,Index,Units,Undefined,-0.980245498
1992 09,,Index,Units,Undefined,-0.793196022
1992 10,,Index,Units,Undefined,-0.18957473
1992 11,,Index,Units,Undefined,-0.587756451
1992 12,,Index,Units,Undefined,-0.023807247
1993 01,,Index,Units,Undefined,-0.125562589
1993 02,,Index,Units,Undefined,0.346611994
1993 03,,Index,Units,Undefined,0.416803665
1993 04,,Index,Units,Undefined,0.152886948
1993 05,,Index,Units,Undefined,0.329226142
1993 06,,Index,Units,Undefined,-0.088433323
1993 07,,Index,Units,Undefined,0.336637273
1993 08,,Index,Units,Undefined,-0.181049584
1993 09,,Index,Units,Undefined,-0.127698132
1993 10,,Index,Units,Undefined,-0.707122098
1993 11,,Index,Units,Undefined,-0.879216277
1993 12,,Index,Units,Undefined,-0.803543601
1994 01,,Index,Units,Undefined,-0.296760107
1994 02,,Index,Units,Undefined,-0.078016764
1994 03,,Index,Units,Undefined,-0.007319892
1994 04,,Index,Units,Undefined,0.100441146
1994 05,,Index,Units,Undefined,0.135725074
1994 06,,Index,Units,Undefined,0.022440457
1994 07,,Index,Units,Undefined,-0.418325069
1994 08,,Index,Units,Undefined,-0.56058105
1994 09,,Index,Units,Undefined,-1.086213813
1994 10,,Index,Units,Undefined,-0.768315695
1994 11,,Index,Units,Undefined,-0.466334092
1994 12,,Index,Units,Undefined,0.339545009
1995 01,,Index,Units,Undefined,0.713360519
1995 02,,Index,Units,Undefined,0.707109253
1995 03,,Index,Units,Undefined,0.5944465
1995 04,,Index,Units,Undefined,0.270427208
1995 05,,Index,Units,Undefined,0.856429978
1995 06,,Index,Units,Undefined,0.325286877
1995 07,,Index,Units,Undefined,0.04456834
1995 08,,Index,Units,Undefined,0.435396468
1995 09,,Index,Units,Undefined,0.944851155
1995 10,,Index,Units,Undefined,0.498981214
1995 11,,Index,Units,Undefined,-0.200129746
1995 12,,Index,Units,Undefined,0.123309192
1996 01,,Index,Units,Undefined,0.735601228
1996 02,,Index,Units,Undefined,1.12132918
1996 03,,Index,Units,Undefined,1.039383317
1996 04,,Index,Units,Undefined,0.839692836
1996 05,,Index,Units,Undefined,0.670444295
1996 06,,Index,Units,Undefined,0.471905977
1996 07,,Index,Units,Undefined,-0.160121448
1996 08,,Index,Units,Undefined,-0.115022719
1996 09,,Index,Units,Undefined,-0.727849179
1996 10,,Index,Units,Undefined,-0.440937729
1996 11,,Index,Units,Undefined,-1.116291384
1996 12,,Index,Units,Undefined,-0.867708247
1997 01,,Index,Units,Undefined,-0.296985683
1997 02,,Index,Units,Undefined,-0.491651796
1997 03,,Index,Units,Undefined,-1.093880583
1997 04,,Index,Units,Undefined,-1.17948012
1997 05,,Index,Units,Undefined,-0.861854235
1997 06,,Index,Units,Undefined,-0.106787365
1997 07,,Index,Units,Undefined,-0.222095251
1997 08,,Index,Units,Undefined,-0.582619553
1997 09,,Index,Units,Undefined,-0.792995229
1997 10,,Index,Units,Undefined,-0.41453097
1997 11,,Index,Units,Undefined,-0.578950455
1997 12,,Index,Units,Undefined,-0.512120245
1998 01,,Index,Units,Undefined,-0.745180037
1998 02,,Index,Units,Undefined,-0.825746338
1998 03,,Index,Units,Undefined,-0.832286001
1998 04,,Index,Units,Undefined,-0.604473936
1998 05,,Index,Units,Undefined,0.186088826
1998 06,,Index,Units,Undefined,-0.134707667
1998 07,,Index,Units,Undefined,-0.241759198
1998 08,,Index,Units,Undefined,-0.161911965
1998 09,,Index,Units,Undefined,-0.190554251
1998 10,,Index,Units,Undefined,-0.062762521
1998 11,,Index,Units,Undefined,-0.548295639
1998 12,,Index,Units,Undefined,0.146386212
1999 01,,Index,Units,Undefined,0.284556289
1999 02,,Index,Units,Undefined,0.474232568
1999 03,,Index,Units,Undefined,-0.194019533
1999 04,,Index,Units,Undefined,-0.617601028
1999 05,,Index,Units,Undefined,-0.530928075
1999 06,,Index,Units,Undefined,-0.51288831
1999 07,,Index,Units,Undefined,-0.889963044
1999 08,,Index,Units,Undefined,-1.45147345
1999 09,,Index,Units,Undefined,-1.327824072
1999 10,,Index,Units,Undefined,-1.018035299
1999 11,,Index,Units,Undefined,-0.670052284
1999 12,,Index,Units,Undefined,-0.702478521
2000 01,,Index,Units,Undefined,-0.762104538
2000 02,,Index,Units,Undefined,-0.988911176
2000 03,,Index,Units,Undefined,-1.366366555
2000 04,,Index,Units,Undefined,-1.436287955
2000 05,,Index,Units,Undefined,-0.97885009
2000 06,,Index,Units,Undefined,-0.324751882
2000 07,,Index,Units,Undefined,0.461788913
2000 08,,Index,Units,Undefined,-0.329186256
2000 09,,Index,Units,Undefined,-0.25676247
2000 10,,Index,Units,Undefined,-0.548263315
2000 11,,Index,Units,Undefined,-0.03307268
2000 12,,Index,Units,Undefined,-0.004282412
2001 01,,Index,Units,Undefined,0.07408736
2001 02,,Index,Units,Undefined,-0.011882271
2001 03,,Index,Units,Undefined,0.774695314
2001 04,,Index,Units,Undefined,0.94245219
2001 05,,Index,Units,Undefined,2.278310515
2001 06,,Index,Units,Undefined,2.050390872
2001 07,,Index,Units,Undefined,0.642686635
2001 08,,Index,Units,Undefined,-0.304590764
2001 09,,Index,Units,Undefined,-0.622687852
2001 10,,Index,Units,Undefined,0.141438883
2001 11,,Index,Units,Undefined,0.113683177
2001 12,,Index,Units,Undefined,0.403258042
2002 01,,Index,Units,Undefined,0.778156105
2002 02,,Index,Units,Undefined,0.673024301
2002 03,,Index,Units,Undefined,0.367692097
