Year,Performing/Funding,Country,Region,Sector,Source,Source sub-category,Product group,Unit measure,Observation status,Unit multiplier,GeoCode,Value
2007,Performing research and development,,,Government,,,,Percentage (%),Undefined,Units,,0.0841212263345
2007,Performing research and development,,,UK Research & Innovation,,,,Percentage (%),Undefined,Units,,0.06589496062871694
2007,Performing research and development,,,Business Enterprise,,,,Percentage (%),Undefined,Units,,0.9990032909243394
2007,Performing research and development,,,Higher Education,,,,Percentage (%),Undefined,Units,,0.373510990565677
2007,Performing research and development,,,Private Non-Profit,,,,Percentage (%),Undefined,Units,,0.034795598165647444
2007,Funding research and development,,,Total expenditure,,,,Percentage (%),Undefined,Units,,1.5573897948206816
2007,Funding research and development,,,Government,,,,Percentage (%),Undefined,Units,,0.16448248876471802
2007,Funding research and development,,,UK Research & Innovation,,,,Percentage (%),Undefined,Units,,0.1620608170975118
2007,Funding research and development,,,Higher Education Funding Councils,,,,Percentage (%),Undefined,Units,,0.142368802751019
2007,Funding research and development,,,Business Enterprise,,,,Percentage (%),Undefined,Units,,0.7340851561723313
2007,Funding research and development,,,Higher Education,,,,Percentage (%),Undefined,Units,,0.0016569332459832114
2007,Funding research and development,,,Private Non-Profit,,,,Percentage (%),Undefined,Units,,0.07347861663917857
2007,Funding research and development,,,Overseas,,,,Percentage (%),Undefined,Units,,0.2792569801499397
2007,Funding research and development,,,,UK Government,,,Percentage (%),Undefined,Units,,0.06831663229592318
2007,Funding research and development,,,,Overseas total,,,Percentage (%),Undefined,Units,,0.23171574163057526
2007,Funding research and development,,,,,European Commission grants,,Percentage (%),Undefined,Units,,0.0017206614477517966
2007,Funding research and development,,,,,Other Overseas,,Percentage (%),Undefined,Units,,0.22999508018282347
2007,Funding research and development,,,,Other UK Business,,,Percentage (%),Undefined,Units,,0.06334583255797355
2007,Funding research and development,,,,Own funds,,,Percentage (%),Undefined,Units,,0.6346691614133385
2007,Funding research and development,,,,Other,,,Percentage (%),Undefined,Units,,0.0009559230265287758
2007,Performing research and development,,,,,,"Agriculture, hunting and forestry; Fishing",Percentage (%),Undefined,Units,,
2007,Performing research and development,,,,,,Extractive Industries,Percentage (%),Undefined,Units,,0.005225712545023974
2007,Performing research and development,,,,,,Food products and beverages; Tobacco products,Percentage (%),Undefined,Units,,0.020902850180095897
2007,Performing research and development,,,,,,"Textiles, clothing and leather products",Percentage (%),Undefined,Units,,0.0012108358336031162
